"date","name","fullname","megabytes","height_pixels","width_pixels","megapixels"
"5/9/2018 10:41:32 AM","bamboo1.png","\\beast\c\initium\Initium-Resources\war\images\2d\bamboo\bamboo1.png","0.00660419464111328","73","47","0.003431"
"5/9/2018 10:41:34 AM","bamboo10.png","\\beast\c\initium\Initium-Resources\war\images\2d\bamboo\bamboo10.png","0.0202131271362305","322","61","0.019642"
"5/9/2018 10:41:36 AM","bamboo11.png","\\beast\c\initium\Initium-Resources\war\images\2d\bamboo\bamboo11.png","0.00660419464111328","73","47","0.003431"
"5/9/2018 10:41:39 AM","bamboo2.png","\\beast\c\initium\Initium-Resources\war\images\2d\bamboo\bamboo2.png","0.0145893096923828","156","64","0.009984"
"5/9/2018 10:41:41 AM","bamboo3.png","\\beast\c\initium\Initium-Resources\war\images\2d\bamboo\bamboo3.png","0.0288457870483398","206","113","0.023278"
"5/9/2018 10:41:43 AM","bamboo4.png","\\beast\c\initium\Initium-Resources\war\images\2d\bamboo\bamboo4.png","0.00572872161865234","81","41","0.003321"
"5/9/2018 10:41:45 AM","bamboo5.png","\\beast\c\initium\Initium-Resources\war\images\2d\bamboo\bamboo5.png","0.00572872161865234","81","41","0.003321"
"5/9/2018 10:41:47 AM","bamboo6.png","\\beast\c\initium\Initium-Resources\war\images\2d\bamboo\bamboo6.png","0.00630092620849609","82","42","0.003444"
"5/9/2018 10:41:49 AM","bamboo7.png","\\beast\c\initium\Initium-Resources\war\images\2d\bamboo\bamboo7.png","0.00630092620849609","82","42","0.003444"
"5/9/2018 10:41:52 AM","bamboo8.png","\\beast\c\initium\Initium-Resources\war\images\2d\bamboo\bamboo8.png","0.020817756652832","206","80","0.01648"
"5/9/2018 10:41:54 AM","bamboo9.png","\\beast\c\initium\Initium-Resources\war\images\2d\bamboo\bamboo9.png","0.020817756652832","206","80","0.01648"
"5/23/2018 10:38:04 PM","loghouse1.png","\\beast\c\initium\Initium-Resources\war\images\2d\buildings\loghouse1.png","0.0668344497680664","540","960","0.5184"
"5/23/2018 10:36:58 PM","mudhut1.png","\\beast\c\initium\Initium-Resources\war\images\2d\buildings\mudhut1.png","0.101020812988281","270","480","0.1296"
"5/23/2018 10:37:11 PM","mudhut2.png","\\beast\c\initium\Initium-Resources\war\images\2d\buildings\mudhut2.png","0.0971689224243164","270","480","0.1296"
"5/23/2018 10:39:52 PM","roundthatchhut1.png","\\beast\c\initium\Initium-Resources\war\images\2d\buildings\roundthatchhut1.png","0.0272941589355469","270","480","0.1296"
"5/9/2018 10:37:58 AM","bush1.png","\\beast\c\initium\Initium-Resources\war\images\2d\bushes\bush1.png","0.0160627365112305","86","130","0.01118"
"5/9/2018 10:38:00 AM","bush2.png","\\beast\c\initium\Initium-Resources\war\images\2d\bushes\bush2.png","0.0146646499633789","103","112","0.011536"
"5/9/2018 10:38:02 AM","bush3.png","\\beast\c\initium\Initium-Resources\war\images\2d\bushes\bush3.png","0.0139303207397461","100","113","0.0113"
"5/9/2018 10:38:05 AM","bush4.png","\\beast\c\initium\Initium-Resources\war\images\2d\bushes\bush4.png","0.0188379287719727","104","112","0.011648"
"5/9/2018 10:38:08 AM","bush5.png","\\beast\c\initium\Initium-Resources\war\images\2d\bushes\bush5.png","0.013702392578125","94","94","0.008836"
"5/9/2018 10:38:11 AM","bush6.png","\\beast\c\initium\Initium-Resources\war\images\2d\bushes\bush6.png","0.0195446014404297","100","156","0.0156"
"5/9/2018 10:38:13 AM","bush7.png","\\beast\c\initium\Initium-Resources\war\images\2d\bushes\bush7.png","0.0171670913696289","105","107","0.011235"
"5/9/2018 10:38:16 AM","bush8.png","\\beast\c\initium\Initium-Resources\war\images\2d\bushes\bush8.png","0.0130081176757813","102","98","0.009996"
"5/9/2018 10:45:18 AM","bigcactus1.png","\\beast\c\initium\Initium-Resources\war\images\2d\cacti\bigcactus1.png","0.0172529220581055","182","64","0.011648"
"5/9/2018 10:45:20 AM","bigcactus2.png","\\beast\c\initium\Initium-Resources\war\images\2d\cacti\bigcactus2.png","0.0175027847290039","181","65","0.011765"
